filename,content,sentiment,score,keywords,summary
comments.json,This product exceeded my expectations. Highly recommended!,neutral,3,"['average', 'okay']",快速分析结果
comments.json,"Poor quality, broke after just one use. Very disappointed.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,Decent value for the price. Works as described.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Absolutely love this! It's become an essential part of my daily routine.,positive,4,"['good', 'quality']",快速分析结果
comments.json,Not worth the money. I've had better experiences with cheaper alternatives.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The design is sleek and modern. Very happy with my purchase.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,"Takes a while to get used to, but works well once you figure it out.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,Terrible customer service. Would not buy from this brand again.,negative,2,"['bad', 'quality']",快速分析结果
comments.json,Fast shipping and exactly what I ordered. Satisfied customer here.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,"The instructions were confusing, but I managed to set it up eventually.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,Durable and well-made. Seems like it will last a long time.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Way too expensive for what it is. Save your money.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Works perfectly! No complaints whatsoever.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,"Arrived damaged, but the company sent a replacement quickly.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,"I've tried several similar products, and this one is the best by far.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,"Meh, it's okay. Nothing special but gets the job done.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,Incredibly useful gadget. Makes my life so much easier.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Stopped working after a week. Complete waste of money.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Great product at a great price. Very satisfied.,positive,4,"['good', 'quality']",快速分析结果
comments.json,"The color is slightly different from the picture, but still nice.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,Highly functional and easy to use. Five stars from me!,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The size is perfect for my needs. Very convenient.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Not as described. Very misleading product information.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Love the features! This does everything I need and more.,positive,4,"['good', 'quality']",快速分析结果
comments.json,"Cheap materials, feels flimsy in hand.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,Delivery was on time and the product was well-packaged.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,"Took longer to arrive than expected, but worth the wait.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,I would definitely buy this again. Great purchase.,positive,4,"['good', 'quality']",快速分析结果
comments.json,Disappointed with the performance. Doesn't live up to claims.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Simple to operate but very effective. Recommended.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The battery life is amazing! Lasts much longer than I anticipated.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Hard to clean. That's my only complaint.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Looks even better in person than in the photos.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Way smaller than I thought it would be. Not useful for my needs.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Works exactly as advertised. Very happy with it.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Makes a strange noise when in use. Kinda concerning.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Excellent customer support when I had questions.,positive,4,"['good', 'quality']",快速分析结果
comments.json,Overpriced for the quality. You can find better options.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Compact design saves space. Perfect for small apartments.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The instructions were clear and setup was a breeze.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Started malfunctioning after a month. Poor quality control.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,This has quickly become my favorite purchase this year.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Not durable at all. Mine broke with normal use.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,"Good product, but could be improved with a few tweaks.",positive,4,"['good', 'quality']",快速分析结果
comments.json,"Very versatile, can be used in multiple ways.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,I regret buying this. It's just collecting dust now.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The quality is impressive for the price point.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Takes up too much space. Not practical for everyday use.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,I get compliments on this all the time. Looks great!,positive,4,"['good', 'quality']",快速分析结果
comments.json,Doesn't work as well as I hoped. Very underwhelming.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Fast and efficient. Does the job in half the time of similar products.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The smell is unpleasant. Had to return it.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Well worth the investment. Has already paid for itself.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The buttons are too small and hard to press.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,I've recommended this to all my friends and family.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Arrived late and missing parts. Very frustrating experience.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Sleek design combined with great functionality. Perfect combo.,positive,4,"['good', 'quality']",快速分析结果
comments.json,Not user-friendly at all. Too complicated to operate.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Durable construction. Survived a few accidental drops.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Way too heavy to carry around comfortably.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Exceeded all my expectations. Truly a great product.,positive,4,"['good', 'quality']",快速分析结果
comments.json,The finish started peeling after a few weeks. Poor quality.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Simple yet effective. Does exactly what I need it to do.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Waste of money. Doesn't work properly out of the box.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The best purchase I've made in a long time. Highly recommend!,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Takes forever to charge. Very inconvenient.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Great value for money. Comes with lots of useful accessories.,positive,4,"['good', 'quality']",快速分析结果
comments.json,The color faded after just a few washes. Not good.,positive,4,"['good', 'quality']",快速分析结果
comments.json,Very comfortable to use for extended periods.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Poorly designed. Not ergonomic at all.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Fast shipping and excellent product. 10/10 would buy again.,positive,4,"['good', 'quality']",快速分析结果
comments.json,The product arrived damaged. Very disappointing.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,High quality materials and craftsmanship. Clearly built to last.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Not as powerful as advertised. Very weak performance.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Love all the different settings. So versatile!,positive,4,"['good', 'quality']",快速分析结果
comments.json,Confusing interface. Takes too long to learn how to use.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Perfect size for travel. I take it everywhere with me.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Too bulky and heavy. Not practical for everyday use.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Works great right out of the box. No setup required.,positive,4,"['good', 'quality']",快速分析结果
comments.json,Missing important features that were advertised.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,"The price is steep, but you definitely get what you pay for.",neutral,3,"['average', 'okay']",快速分析结果
comments.json,Cheaply made. Fell apart after minimal use.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Very intuitive to use. Even my kids figured it out quickly.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The customer service was unhelpful when I had an issue.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Stylish and functional. Looks great in my home.,positive,4,"['good', 'quality']",快速分析结果
comments.json,Doesn't fit properly. Poor sizing information.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,This product has changed my daily routine for the better.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Noisy operation. Disturbs others in the room.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Excellent performance at an affordable price. Great find!,positive,4,"['good', 'quality']",快速分析结果
comments.json,The product description was misleading. Not what I expected.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Very durable. Survived being knocked off the counter multiple times.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Hard to assemble. Needed help from a friend.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,I use this every single day. Couldn't live without it now.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Poor battery life. Needs recharging constantly.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Great product with fast shipping. Very satisfied customer.,positive,4,"['good', 'quality']",快速分析结果
comments.json,The quality doesn't match the price. Overpriced.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Compact yet powerful. Surprised by how well it works.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Not compatible with other products I own. Very disappointing.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Easy to clean and maintain. That's a big plus for me.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,The design is flawed. Causes more problems than it solves.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,This is exactly what I needed. Works perfectly.,neutral,3,"['average', 'okay']",快速分析结果
comments.json,Took over a week to arrive. Not happy with the shipping time.,neutral,3,"['average', 'okay']",快速分析结果
